UID          PID    PPID     LWP  C NLWP    SZ   RSS PSR STIME TTY          TIME CMD
root           1       0       1  0    1  6353 15896   0 20:11 ?        00:00:03 /sbin/init auto automatic-ubiquity noprompt
root          54       2      54  0    1     0     0   2 20:11 ?        00:00:00 [kcompactd0]
root          55       2      55  0    1     0     0   1 20:11 ?        00:00:00 [ksmd]
root          56       2      56  0    1     0     0   1 20:11 ?        00:00:00 [khugepaged]
root          57       2      57  0    1     0     0   1 20:11 ?        00:00:00 [kworker/R-kintegrityd]
root          58       2      58  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-kblockd]
root          59       2      59  0    1     0     0   1 20:11 ?        00:00:00 [irq/9-acpi]
root          62       2      62  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-tpm_dev_wq]
root          63       2      63  0    1     0     0   0 20:11 ?        00:00:00 [kworker/R-ata_sff]
root          64       2      64  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-md]
root          65       2      65  0    1     0     0   0 20:11 ?        00:00:00 [kworker/R-md_bitmap]
root          66       2      66  0    1     0     0   0 20:11 ?        00:00:00 [kworker/R-edac-poller]
root          67       2      67  0    1     0     0   0 20:11 ?        00:00:00 [kworker/R-devfreq_wq]
root          68       2      68  0    1     0     0   3 20:11 ?        00:00:00 [watchdogd]
root          70       2      70  0    1     0     0   1 20:11 ?        00:00:00 [kworker/1:1H-kblockd]
root          71       2      71  0    1     0     0   3 20:11 ?        00:00:00 [kswapd0]
root          72       2      72  0    1     0     0   0 20:11 ?        00:00:00 [ecryptfs-kthread]
root          74       2      74  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-kthrotld]
root          75       2      75  0    1     0     0   2 20:11 ?        00:00:00 [irq/24-pciehp]
root          76       2      76  0    1     0     0   3 20:11 ?        00:00:00 [irq/25-pciehp]
root          77       2      77  0    1     0     0   0 20:11 ?        00:00:00 [irq/26-pciehp]
root          78       2      78  0    1     0     0   1 20:11 ?        00:00:00 [irq/27-pciehp]
root          79       2      79  0    1     0     0   2 20:11 ?        00:00:00 [irq/28-pciehp]
root          80       2      80  0    1     0     0   3 20:11 ?        00:00:00 [irq/29-pciehp]
root          81       2      81  0    1     0     0   0 20:11 ?        00:00:00 [irq/30-pciehp]
root          82       2      82  0    1     0     0   1 20:11 ?        00:00:00 [irq/31-pciehp]
root          83       2      83  0    1     0     0   2 20:11 ?        00:00:00 [irq/32-pciehp]
root          84       2      84  0    1     0     0   3 20:11 ?        00:00:00 [irq/33-pciehp]
root          85       2      85  0    1     0     0   0 20:11 ?        00:00:00 [irq/34-pciehp]
root          86       2      86  0    1     0     0   1 20:11 ?        00:00:00 [irq/35-pciehp]
root          87       2      87  0    1     0     0   2 20:11 ?        00:00:00 [irq/36-pciehp]
root          88       2      88  0    1     0     0   3 20:11 ?        00:00:00 [irq/37-pciehp]
root          89       2      89  0    1     0     0   0 20:11 ?        00:00:00 [irq/38-pciehp]
root          90       2      90  0    1     0     0   1 20:11 ?        00:00:00 [irq/39-pciehp]
root          91       2      91  0    1     0     0   2 20:11 ?        00:00:00 [irq/40-pciehp]
root          92       2      92  0    1     0     0   3 20:11 ?        00:00:00 [irq/41-pciehp]
root          93       2      93  0    1     0     0   0 20:11 ?        00:00:00 [irq/42-pciehp]
root          94       2      94  0    1     0     0   1 20:11 ?        00:00:00 [irq/43-pciehp]
root          95       2      95  0    1     0     0   2 20:11 ?        00:00:00 [irq/44-pciehp]
root          96       2      96  0    1     0     0   3 20:11 ?        00:00:00 [irq/45-pciehp]
root          97       2      97  0    1     0     0   0 20:11 ?        00:00:00 [irq/46-pciehp]
root          98       2      98  0    1     0     0   1 20:11 ?        00:00:00 [irq/47-pciehp]
root          99       2      99  0    1     0     0   2 20:11 ?        00:00:00 [irq/48-pciehp]
root         100       2     100  0    1     0     0   3 20:11 ?        00:00:00 [irq/49-pciehp]
root         101       2     101  0    1     0     0   0 20:11 ?        00:00:00 [irq/50-pciehp]
root         102       2     102  0    1     0     0   1 20:11 ?        00:00:00 [irq/51-pciehp]
root         103       2     103  0    1     0     0   2 20:11 ?        00:00:00 [irq/52-pciehp]
root         104       2     104  0    1     0     0   3 20:11 ?        00:00:00 [irq/53-pciehp]
root         105       2     105  0    1     0     0   0 20:11 ?        00:00:00 [irq/54-pciehp]
root         106       2     106  0    1     0     0   1 20:11 ?        00:00:00 [irq/55-pciehp]
root         107       2     107  0    1     0     0   0 20:11 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         109       2     109  0    1     0     0   2 20:11 ?        00:00:00 [scsi_eh_0]
root         110       2     110  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-scsi_tmf_0]
root         111       2     111  0    1     0     0   3 20:11 ?        00:00:00 [scsi_eh_1]
root         112       2     112  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-scsi_tmf_1]
root         115       2     115  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-mld]
root         116       2     116  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         117       2     117  0    1     0     0   3 20:11 ?        00:00:00 [kworker/u512:1-ipv6_addrconf]
root         124       2     124  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-kstrp]
root         127       2     127  0    1     0     0   0 20:11 ?        00:00:00 [kworker/0:2-events]
root         128       2     128  0    1     0     0   3 20:11 ?        00:00:00 [kworker/u517:0]
root         129       2     129  0    1     0     0   3 20:11 ?        00:00:00 [kworker/u518:0]
root         131       2     131  0    1     0     0   2 20:11 ?        00:00:00 [kworker/u520:0-ttm]
root         132       2     132  0    1     0     0   3 20:11 ?        00:00:00 [kworker/u521:0-ttm]
root         145       2     145  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-charger_manager]
root         146       2     146  0    1     0     0   0 20:11 ?        00:00:00 [kworker/0:1H-kblockd]
root         169       2     169  0    1     0     0   3 20:11 ?        00:00:00 [kworker/3:1H-kblockd]
root         173       2     173  0    1     0     0   2 20:11 ?        00:00:00 [kworker/2:1H-kblockd]
root         200       2     200  0    1     0     0   0 20:11 ?        00:00:00 [kworker/R-mpt_poll_0]
root         201       2     201  0    1     0     0   1 20:11 ?        00:00:00 [kworker/R-mpt/0]
root         203       2     203  0    1     0     0   0 20:11 ?        00:00:00 [scsi_eh_2]
root         204       2     204  0    1     0     0   0 20:11 ?        00:00:00 [kworker/R-scsi_tmf_2]
root         218       2     218  0    1     0     0   1 20:11 ?        00:00:00 [scsi_eh_3]
root         220       2     220  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_3]
root         221       2     221  0    1     0     0   3 20:11 ?        00:00:00 [scsi_eh_4]
root         222       2     222  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_4]
root         223       2     223  0    1     0     0   2 20:11 ?        00:00:00 [scsi_eh_5]
root         224       2     224  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_5]
root         225       2     225  0    1     0     0   3 20:11 ?        00:00:00 [scsi_eh_6]
root         226       2     226  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-scsi_tmf_6]
root         227       2     227  0    1     0     0   3 20:11 ?        00:00:00 [scsi_eh_7]
root         229       2     229  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_7]
root         230       2     230  0    1     0     0   2 20:11 ?        00:00:00 [scsi_eh_8]
root         231       2     231  0    1     0     0   0 20:11 ?        00:00:00 [kworker/R-scsi_tmf_8]
root         232       2     232  0    1     0     0   2 20:11 ?        00:00:00 [scsi_eh_9]
root         233       2     233  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_9]
root         234       2     234  0    1     0     0   2 20:11 ?        00:00:00 [scsi_eh_10]
root         235       2     235  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_10]
root         236       2     236  0    1     0     0   2 20:11 ?        00:00:00 [scsi_eh_11]
root         237       2     237  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_11]
root         238       2     238  0    1     0     0   1 20:11 ?        00:00:00 [scsi_eh_12]
root         239       2     239  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_12]
root         240       2     240  0    1     0     0   1 20:11 ?        00:00:00 [scsi_eh_13]
root         241       2     241  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-scsi_tmf_13]
root         242       2     242  0    1     0     0   1 20:11 ?        00:00:00 [scsi_eh_14]
root         243       2     243  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-scsi_tmf_14]
root         244       2     244  0    1     0     0   0 20:11 ?        00:00:00 [scsi_eh_15]
root         245       2     245  0    1     0     0   0 20:11 ?        00:00:00 [kworker/R-scsi_tmf_15]
root         248       2     248  0    1     0     0   1 20:11 ?        00:00:00 [scsi_eh_16]
root         249       2     249  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_16]
root         250       2     250  0    1     0     0   2 20:11 ?        00:00:00 [scsi_eh_17]
root         251       2     251  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-scsi_tmf_17]
root         252       2     252  0    1     0     0   3 20:11 ?        00:00:00 [scsi_eh_18]
root         253       2     253  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_18]
root         255       2     255  0    1     0     0   0 20:11 ?        00:00:00 [scsi_eh_19]
root         256       2     256  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-scsi_tmf_19]
root         257       2     257  0    1     0     0   0 20:11 ?        00:00:00 [scsi_eh_20]
root         258       2     258  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_20]
root         259       2     259  0    1     0     0   3 20:11 ?        00:00:00 [scsi_eh_21]
root         260       2     260  0    1     0     0   3 20:11 ?        00:00:00 [kworker/R-scsi_tmf_21]
root         261       2     261  0    1     0     0   3 20:11 ?        00:00:00 [scsi_eh_22]
root         262       2     262  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_22]
root         263       2     263  0    1     0     0   0 20:11 ?        00:00:00 [scsi_eh_23]
root         264       2     264  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_23]
root         265       2     265  0    1     0     0   1 20:11 ?        00:00:00 [scsi_eh_24]
root         266       2     266  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_24]
root         267       2     267  0    1     0     0   0 20:11 ?        00:00:00 [scsi_eh_25]
root         268       2     268  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_25]
root         269       2     269  0    1     0     0   0 20:11 ?        00:00:00 [scsi_eh_26]
root         270       2     270  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_26]
root         271       2     271  0    1     0     0   2 20:11 ?        00:00:00 [scsi_eh_27]
root         272       2     272  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_27]
root         273       2     273  0    1     0     0   1 20:11 ?        00:00:00 [scsi_eh_28]
root         274       2     274  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_28]
root         275       2     275  0    1     0     0   2 20:11 ?        00:00:00 [scsi_eh_29]
root         276       2     276  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_29]
root         277       2     277  0    1     0     0   2 20:11 ?        00:00:00 [scsi_eh_30]
root         278       2     278  0    1     0     0   1 20:11 ?        00:00:00 [kworker/R-scsi_tmf_30]
root         279       2     279  0    1     0     0   0 20:11 ?        00:00:00 [scsi_eh_31]
root         280       2     280  0    1     0     0   1 20:11 ?        00:00:00 [kworker/R-scsi_tmf_31]
root         281       2     281  0    1     0     0   2 20:11 ?        00:00:00 [scsi_eh_32]
root         282       2     282  0    1     0     0   2 20:11 ?        00:00:00 [kworker/R-scsi_tmf_32]
root         302       2     302  0    1     0     0   2 20:11 ?        00:00:00 [kworker/u514:24-events_unbound]
root         304       2     304  0    1     0     0   0 20:11 ?        00:00:00 [kworker/u514:26-events_freezable_pwr_efficient]
root         317       2     317  0    1     0     0   2 20:11 ?        00:00:00 [kworker/u515:2-events_unbound]
root         353       2     353  0    1     0     0   0 20:11 ?        00:00:00 [jbd2/sda2-8]
root         354       2     354  0    1     0     0   0 20:11 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         402       2     402  0    1     0     0   3 20:11 ?        00:00:00 [irq/57-vmw_vmci]
root         403       2     403  0    1     0     0   0 20:11 ?        00:00:00 [irq/58-vmw_vmci]
root         404       2     404  0    1     0     0   1 20:11 ?        00:00:00 [irq/59-vmw_vmci]
root         412       1     412  0    1 19009 42996   2 20:11 ?        00:00:00 /usr/lib/systemd/systemd-journald
systemd+     430       1     430  0    1  4536  7752   0 20:11 ?        00:00:00 /usr/lib/systemd/systemd-oomd
systemd+     451       1     451  0    2 22908  7960   2 20:11 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
systemd+     451       1     487  0    2 22908  7960   2 20:11 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         452       2     452  0    1     0     0   2 20:11 ?        00:00:00 [irq/16-vmwgfx]
root         453       2     453  0    1     0     0   1 20:11 ?        00:00:00 [kworker/R-ttm]
root         456       1     456  0    3 38141  1296   3 20:11 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         456       1     457  0    3 38141  1296   1 20:11 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         456       1     458  0    3 38141  1296   1 20:11 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         465       1     465  0    1  9213 13896   0 20:11 ?        00:00:00 /usr/lib/systemd/systemd-udevd
systemd+     492       1     492  0    1  5800 14128   2 20:11 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root         495       2     495  0    1     0     0   2 20:11 ?        00:00:00 [psimon]
root        1273       1    1273  0    1  5980 11012   1 20:11 ?        00:00:00 /usr/bin/VGAuthService
root        1314       2    1314  0    1     0     0   1 20:11 ?        00:00:00 [kworker/u515:4-flush-8:0]
root        1319       1    1319  0    4 29219  9704   1 20:11 ?        00:00:02 /usr/bin/vmtoolsd
root        1319       1    1421  0    4 29219  9704   3 20:11 ?        00:00:00 /usr/bin/vmtoolsd
root        1319       1    1422  0    4 29219  9704   3 20:11 ?        00:00:00 /usr/bin/vmtoolsd
root        1319       1    1423  0    4 29219  9704   3 20:11 ?        00:00:00 /usr/bin/vmtoolsd
root        1323       2    1323  0    1     0     0   2 20:11 ?        00:00:00 [kworker/u515:5-events_freezable_pwr_efficient]
root        1379       2    1379  0    1     0     0   1 20:11 ?        00:00:00 [kworker/R-cryptd]
root        1429       2    1429  0    1     0     0   3 20:11 ?        00:00:00 [kworker/3:3-cgroup_destroy]
avahi       1472       1    1472  0    1  1699  4452   0 20:11 ?        00:00:00 avahi-daemon: running [vm-ubuntu.local]
message+    1473       1    1473  0    1  3019  8056   3 20:11 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1477       1    1477  0    4 130366 16840  2 20:11 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+    1477       1    1573  0    4 130366 16840  0 20:11 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+    1477       1    1576  0    4 130366 16840  2 20:11 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+    1477       1    1583  0    4 130366 16840  0 20:11 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1480       1    1480  0    4 97316 11628   2 20:11 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
polkitd     1480       1    1587  0    4 97316 11628   3 20:11 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
polkitd     1480       1    1589  0    4 97316 11628   0 20:11 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
polkitd     1480       1    1593  0    4 97316 11628   2 20:11 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root        1494       1    1494  0   11 499399 39908  2 20:11 ?        00:00:01 /snap/snapd/current/usr/lib/snapd/snapd
root        1494       1    1658  0   11 499399 39908  1 20:11 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1494       1    1659  0   11 499399 39908  3 20:11 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1494       1    1660  0   11 499399 39908  2 20:11 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1494       1    1661  0   11 499399 39908  2 20:11 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1494       1    1685  0   11 499399 39908  0 20:11 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1494       1    1762  0   11 499399 39908  3 20:11 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1494       1    1774  0   11 499399 39908  1 20:11 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1494       1    1809  0   11 499399 39908  1 20:11 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1494       1    1919  0   11 499399 39908  1 20:11 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1494       1    2070  0   11 499399 39908  3 20:11 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1502       1    1502  0    4 77973  7444   3 20:11 ?        00:00:00 /usr/libexec/accounts-daemon
root        1502       1    1558  0    4 77973  7444   0 20:11 ?        00:00:00 /usr/libexec/accounts-daemon
root        1502       1    1559  0    4 77973  7444   2 20:11 ?        00:00:00 /usr/libexec/accounts-daemon
root        1502       1    1578  0    4 77973  7444   2 20:11 ?        00:00:00 /usr/libexec/accounts-daemon
root        1505       1    1505  0    1  2426  2948   2 20:11 ?        00:00:00 /usr/sbin/cron -f -P
root        1507       1    1507  0    4 77675  7012   1 20:11 ?        00:00:00 /usr/libexec/switcheroo-control
root        1507       1    1535  0    4 77675  7012   2 20:11 ?        00:00:00 /usr/libexec/switcheroo-control
root        1507       1    1536  0    4 77675  7012   3 20:11 ?        00:00:00 /usr/libexec/switcheroo-control
root        1507       1    1574  0    4 77675  7012   1 20:11 ?        00:00:00 /usr/libexec/switcheroo-control
root        1509       1    1509  0    1  4756  9020   2 20:11 ?        00:00:00 /usr/lib/systemd/systemd-logind
root        1518       1    1518  0    6 136256 15276  1 20:11 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1518       1    1537  0    6 136256 15276  0 20:11 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1518       1    1538  0    6 136256 15276  1 20:11 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1518       1    1575  0    6 136256 15276  3 20:11 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1518       1    1623  0    6 136256 15276  1 20:11 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1518       1    1628  0    6 136256 15276  2 20:11 ?        00:00:00 /usr/libexec/udisks2/udisksd
syslog      1528       1    1528  0    4 55183  5624   2 20:11 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1528       1    1553  0    4 55183  5624   2 20:11 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1528       1    1554  0    4 55183  5624   1 20:11 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1528       1    1555  0    4 55183  5624   2 20:11 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
avahi       1534    1472    1534  0    1  1652  1536   2 20:11 ?        00:00:00 avahi-daemon: chroot helper
root        1577       1    1577  0    4 84968 20236   3 20:11 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1577       1    1630  0    4 84968 20236   1 20:11 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1577       1    1631  0    4 84968 20236   2 20:11 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1577       1    1632  0    4 84968 20236   1 20:11 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1585       1    1585  0    1  4604  6240   3 20:11 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1622       1    1622  0    4 79416 12584   0 20:11 ?        00:00:00 /usr/sbin/ModemManager
root        1622       1    1629  0    4 79416 12584   1 20:11 ?        00:00:00 /usr/sbin/ModemManager
root        1622       1    1633  0    4 79416 12584   1 20:11 ?        00:00:00 /usr/sbin/ModemManager
root        1622       1    1635  0    4 79416 12584   3 20:11 ?        00:00:00 /usr/sbin/ModemManager
root        1717       1    1717  0    1  8153 12204   3 20:11 ?        00:00:00 /usr/sbin/cupsd -l
root        1724       1    1724  0    2 30902 29156   1 20:11 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1724       1    1749  0    2 30902 29156   0 20:11 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
cups-br+    1741       1    1741  0    4 52343 20792   0 20:11 ?        00:00:00 /usr/sbin/cups-browsed
cups-br+    1741       1    1755  0    4 52343 20792   1 20:11 ?        00:00:00 /usr/sbin/cups-browsed
cups-br+    1741       1    1756  0    4 52343 20792   1 20:11 ?        00:00:00 /usr/sbin/cups-browsed
cups-br+    1741       1    1757  0    4 52343 20792   2 20:11 ?        00:00:00 /usr/sbin/cups-browsed
root        1742       1    1742  0    4 78364  9232   3 20:11 ?        00:00:00 /usr/sbin/gdm3
root        1742       1    1744  0    4 78364  9232   1 20:11 ?        00:00:00 /usr/sbin/gdm3
root        1742       1    1745  0    4 78364  9232   1 20:11 ?        00:00:00 /usr/sbin/gdm3
root        1742       1    1746  0    4 78364  9232   0 20:11 ?        00:00:00 /usr/sbin/gdm3
root        1760       2    1760  0    1     0     0   1 20:11 ?        00:00:00 [psimon]
rtkit       1839       1    1839  0    3  5465  3220   2 20:11 ?        00:00:00 /usr/libexec/rtkit-daemon
rtkit       1839       1    1869  0    3  5465  3220   1 20:11 ?        00:00:00 /usr/libexec/rtkit-daemon
rtkit       1839       1    1870  0    3  5465  3220   2 20:11 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1923       1    1923  0    4 78022  7088   3 20:11 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1923       1    1949  0    4 78022  7088   2 20:11 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1923       1    1950  0    4 78022  7088   1 20:11 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1923       1    1951  0    4 78022  7088   3 20:11 ?        00:00:00 /usr/libexec/power-profiles-daemon
colord      2053       1    2053  0    4 79731 14428   1 20:11 ?        00:00:00 /usr/libexec/colord
colord      2053       1    2060  0    4 79731 14428   1 20:11 ?        00:00:00 /usr/libexec/colord
colord      2053       1    2061  0    4 79731 14428   1 20:11 ?        00:00:00 /usr/libexec/colord
colord      2053       1    2063  0    4 79731 14428   1 20:11 ?        00:00:00 /usr/libexec/colord
root        2099       1    2099  0    4 80311  9856   1 20:11 ?        00:00:00 /usr/libexec/upowerd
root        2099       1    2182  0    4 80311  9856   3 20:11 ?        00:00:00 /usr/libexec/upowerd
root        2099       1    2183  0    4 80311  9856   0 20:11 ?        00:00:00 /usr/libexec/upowerd
